"ts","O","customer","driver","demand","gap","supply"
5,10,1,1,1,0,0
5,11,16,16,16,0,0
5,12,133,133,145,7,138
5,13,3,3,3,0,0
5,14,101,57,137,78,59
5,15,1,1,1,0,0
5,16,5,4,5,1,4
5,17,1,0,1,1,0
5,18,6,6,6,0,0
5,19,32,30,32,2,30
5,20,12,11,12,0,0
5,21,40,36,41,4,37
5,22,26,26,28,2,26
5,23,959,350,1565,1198,367
5,24,47,49,51,0,0
5,25,17,17,17,0,0
5,26,5,5,7,2,5
5,27,90,95,103,5,98
5,28,83,86,88,0,0
5,29,12,11,13,2,11
5,30,0,0,0,0,0
5,31,4,3,5,1,4
5,32,2,2,2,0,0
5,33,3,3,3,0,0
5,34,1,1,1,0,0
5,35,3,4,4,0,0
5,36,6,6,6,0,0
5,37,181,130,228,95,133
5,38,7,7,8,1,7
5,39,9,7,12,4,8
5,40,4,4,4,0,0
5,41,2,2,2,0,0
5,42,44,42,46,2,44
5,43,1,0,1,1,0
5,44,1,1,1,0,0
5,45,1,1,1,0,0
5,46,43,42,47,3,44
5,47,3,3,3,0,0
5,48,164,161,192,24,168
5,49,0,0,0,0,0
5,50,0,0,0,0,0
5,51,2478,479,4299,3789,510
5,52,0,0,0,0,0
5,53,2,2,3,1,2
5,54,9,8,10,2,8
5,55,1,1,1,0,0
5,56,0,0,0,0,0
5,57,5,5,5,0,0
5,58,0,0,0,0,0
5,59,1,1,2,1,1
5,60,1,1,1,0,0
5,61,0,0,0,0,0
5,62,0,0,0,0,0
5,63,0,0,0,0,0
5,64,9,7,11,4,7
5,65,1,1,1,0,0
5,66,11,11,11,0,0
6,1,119,126,133,1,132
6,2,16,16,16,0,0
6,3,1,1,1,0,0
6,4,24,24,26,2,24
6,5,0,0,0,0,0
6,6,7,6,7,1,6
6,7,241,161,319,152,167
6,8,199,195,217,17,200
6,9,21,21,23,2,21
6,10,0,0,0,0,0
6,11,11,11,11,0,0
6,12,144,147,156,5,151
6,13,8,8,8,0,0
6,14,104,55,143,87,56
6,15,0,0,0,0,0
6,16,5,5,5,0,0
6,17,1,0,2,2,0
6,18,1,1,1,0,0
6,19,34,33,35,2,33
6,20,17,16,18,0,0
6,21,33,30,34,2,32
6,22,28,26,28,2,26
6,23,945,359,1545,1166,379
6,24,45,48,48,0,0
6,25,17,17,19,2,17
6,26,6,5,6,1,5
6,27,68,66,73,4,69
6,28,71,72,76,2,74
6,29,12,11,12,1,11
6,30,1,1,1,0,0
6,31,5,7,7,0,0
6,32,0,0,0,0,0
6,33,9,9,9,0,0
6,34,0,0,0,0,0
6,35,4,4,4,0,0
6,36,7,6,7,1,6
6,37,134,129,159,25,134
6,38,4,4,4,0,0
6,39,8,6,8,2,6
6,40,2,1,2,1,1
6,41,1,1,1,0,0
6,42,53,56,57,1,56
6,43,3,1,5,4,1
6,44,0,0,0,0,0
6,45,2,2,3,1,2
6,46,50,48,50,1,49
6,47,1,1,1,0,0
6,48,132,135,147,4,143
6,49,0,0,0,0,0
6,50,3,2,4,2,2
6,51,2535,458,4358,3867,491
6,52,0,0,0,0,0
6,53,3,3,3,0,0
6,54,15,17,17,0,0
6,55,8,8,8,0,0
6,56,1,1,1,0,0
6,57,7,6,7,0,0
6,58,1,0,1,1,0
6,59,1,1,1,0,0
6,60,0,0,0,0,0
6,61,4,2,4,2,2
6,62,0,0,0,0,0
6,63,0,0,0,0,0
6,64,13,14,14,0,0
6,65,0,0,0,0,0
6,66,4,4,4,0,0
7,1,122,124,132,6,126
7,2,8,8,8,0,0
7,3,0,0,0,0,0
7,4,24,24,25,0,0
7,5,2,2,2,0,0
7,6,7,6,7,1,6
7,7,273,202,349,140,209
7,8,188,190,204,7,197
7,9,21,21,22,0,0
7,10,0,0,0,0,0
7,11,14,14,14,0,0
7,12,112,115,121,2,119
7,13,5,5,5,0,0
7,14,92,61,123,60,63
7,15,0,0,0,0,0
7,16,2,2,2,0,0
7,17,1,1,1,0,0
7,18,0,0,0,0,0
7,19,26,25,26,1,25
7,20,14,15,15,0,0
7,21,29,32,32,0,0
7,22,27,27,30,3,27
7,23,851,337,1297,943,354
7,24,46,46,49,2,47
7,25,16,15,17,2,15
7,26,7,5,7,2,5
7,27,49,50,51,0,0
7,28,90,94,96,2,94
7,29,5,4,5,0,0
7,30,0,0,0,0,0
7,31,5,5,5,0,0
7,32,1,1,1,0,0
7,33,2,2,2,0,0
7,34,2,2,2,0,0
7,35,2,1,3,2,1
7,36,4,4,4,0,0
7,37,114,117,126,8,118
7,38,6,6,6,0,0
7,39,11,6,13,3,10
7,40,0,0,0,0,0
7,41,2,2,2,0,0
7,42,37,39,40,1,39
7,43,0,0,0,0,0
7,44,2,2,2,0,0
7,45,0,0,0,0,0
7,46,52,47,56,7,49
7,47,0,0,0,0,0
7,48,142,138,150,6,144
7,49,0,0,0,0,0
7,50,1,0,1,1,0
7,51,2393,416,4052,3600,452
7,52,0,0,0,0,0
7,53,5,5,5,0,0
7,54,10,9,11,2,9
7,55,3,3,3,0,0
7,56,0,0,0,0,0
7,57,4,4,4,0,0
7,58,0,0,0,0,0
7,59,0,0,0,0,0
7,60,0,0,0,0,0
7,61,0,0,0,0,0
7,62,0,0,0,0,0
7,63,0,0,0,0,0
7,64,10,8,10,1,9
7,65,1,1,1,0,0
7,66,6,6,6,0,0
8,1,120,126,130,2,128
8,2,6,6,6,0,0
8,3,0,0,0,0,0
8,4,30,33,33,0,0
8,5,0,0,0,0,0
8,6,6,6,6,0,0
8,7,249,183,314,122,192
8,8,175,170,193,17,176
8,9,12,12,13,0,0
8,10,2,0,2,2,0
8,11,11,11,11,0,0
8,12,102,94,107,7,100
8,13,8,7,8,1,7
8,14,53,34,66,30,36
8,15,0,0,0,0,0
8,16,5,5,5,0,0
8,17,0,0,0,0,0
8,18,3,2,3,1,2
8,19,13,13,13,0,0
8,20,10,10,10,0,0
8,21,27,26,28,2,26
8,22,24,23,30,7,23
8,23,717,317,1084,755,329
8,24,33,33,34,0,0
8,25,28,25,30,1,29
8,26,5,5,6,1,5
8,27,56,58,62,2,60
8,28,80,81,84,1,83
8,29,4,5,5,0,0
8,30,0,0,0,0,0
8,31,5,5,5,0,0
8,32,1,1,1,0,0
8,33,5,5,5,0,0
8,34,2,2,2,0,0
8,35,0,0,0,0,0
8,36,3,3,3,0,0
8,37,90,91,97,2,95
8,38,4,3,4,0,0
8,39,13,6,16,8,8
8,40,1,1,1,0,0
8,41,1,1,1,0,0
8,42,46,46,49,1,48
8,43,0,0,0,0,0
8,44,1,1,1,0,0
8,45,1,1,1,0,0
8,46,40,40,45,4,41
8,47,1,1,1,0,0
8,48,109,105,112,2,110
8,49,0,0,0,0,0
8,50,1,1,1,0,0
8,51,2300,440,3988,3513,475
8,52,0,0,0,0,0
8,53,3,3,4,1,3
8,54,8,8,8,0,0
8,55,3,3,5,2,3
8,56,0,0,0,0,0
8,57,3,3,3,0,0
8,58,0,0,0,0,0
8,59,0,0,0,0,0
8,60,1,1,1,0,0
8,61,1,0,2,2,0
8,62,0,0,0,0,0
8,63,0,0,0,0,0
8,64,3,3,3,0,0
8,65,1,1,1,0,0
8,66,6,5,6,1,5
9,1,111,112,120,6,114
9,2,5,5,5,0,0
9,3,2,2,2,0,0
9,4,21,22,22,0,0
9,5,0,0,0,0,0
9,6,6,6,7,1,6
9,7,228,178,287,100,187
9,8,156,161,173,8,165
9,9,17,16,17,1,16
9,10,1,0,1,1,0
9,11,10,10,10,0,0
9,12,99,98,106,6,100
9,13,3,2,3,1,2
9,14,59,57,63,6,57
9,15,0,0,0,0,0
9,16,2,2,3,1,2
9,17,0,0,0,0,0
9,18,3,3,3,0,0
9,19,23,22,23,1,22
9,20,14,13,14,1,13
9,21,26,26,27,0,0
9,22,22,16,22,6,16
9,23,586,302,860,543,317
9,24,37,37,39,1,38
9,25,13,13,13,0,0
9,26,7,7,7,0,0
9,27,46,44,49,3,46
9,28,75,74,79,2,77
9,29,11,11,11,0,0
9,30,0,0,0,0,0
9,31,5,4,5,1,4
9,32,1,0,1,1,0
9,33,2,2,2,0,0
9,34,0,0,0,0,0
9,35,1,1,1,0,0
9,36,4,4,4,0,0
9,37,65,69,72,0,0
9,38,2,2,2,0,0
9,39,3,2,3,1,2
9,40,0,0,0,0,0
9,41,0,0,0,0,0
9,42,43,46,55,6,49
9,43,0,0,0,0,0
9,44,0,0,0,0,0
9,45,0,0,0,0,0
9,46,36,36,37,1,36
9,47,7,6,8,2,6
9,48,121,121,135,7,128
9,49,1,1,1,0,0
9,50,0,0,0,0,0
9,51,2102,424,3619,3157,462
9,52,0,0,0,0,0
9,53,4,4,4,0,0
9,54,9,9,9,0,0
9,55,0,0,0,0,0
9,56,0,0,0,0,0
9,57,1,2,2,0,0
9,58,1,1,2,1,1
9,59,3,3,3,0,0
9,60,2,1,3,2,1
9,61,0,0,0,0,0
9,62,0,0,0,0,0
9,63,0,0,0,0,0
9,64,3,3,3,0,0
9,65,1,1,1,0,0
9,66,6,6,6,0,0
10,1,100,104,111,6,105
10,2,6,6,6,0,0
10,3,1,1,1,0,0
10,4,26,27,27,0,0
10,5,0,0,0,0,0
10,6,1,1,1,0,0
10,7,190,162,220,52,168
10,8,138,140,145,4,141
10,9,16,17,20,1,19
10,10,0,0,0,0,0
10,11,11,10,11,1,10
10,12,98,94,99,4,95
10,13,3,3,3,0,0
10,14,51,48,52,3,49
10,15,0,0,0,0,0
10,16,5,5,5,0,0
10,17,2,1,2,1,1
10,18,2,1,3,2,1
10,19,10,10,10,0,0
10,20,13,13,14,1,13
10,21,28,29,32,2,30
10,22,25,19,29,8,21
10,23,433,298,590,279,311
10,24,35,35,36,1,35
10,25,20,18,20,1,19
10,26,5,5,5,0,0
10,27,32,30,33,2,31
10,28,73,68,75,5,70
10,29,10,9,10,1,9
10,30,0,0,0,0,0
10,31,1,1,1,0,0
10,32,3,3,3,0,0
10,33,3,3,3,0,0
10,34,3,3,3,0,0
10,35,1,0,1,1,0
10,36,1,1,1,0,0
10,37,80,80,87,5,82
10,38,6,6,8,1,7
10,39,1,1,1,0,0
10,40,0,0,0,0,0
10,41,1,1,1,0,0
10,42,44,42,46,4,42
10,43,0,0,0,0,0
10,44,0,0,0,0,0
10,45,0,0,0,0,0
10,46,34,36,37,1,36
10,47,1,1,1,0,0
10,48,107,103,116,7,109
10,49,0,0,0,0,0
10,50,0,0,0,0,0
10,51,1926,394,3359,2940,419
10,52,0,0,0,0,0
10,53,0,0,0,0,0
10,54,8,8,8,0,0
10,55,1,1,1,0,0
10,56,0,0,0,0,0
10,57,7,7,7,0,0
10,58,0,0,0,0,0
10,59,0,0,0,0,0
10,60,0,0,0,0,0
10,61,0,0,0,0,0
10,62,0,0,0,0,0
10,63,0,0,0,0,0
10,64,3,3,3,0,0
10,65,1,1,1,0,0
10,66,4,3,5,2,3
11,1,69,70,73,2,71
11,2,12,12,12,0,0
11,3,3,2,4,2,2
11,4,15,16,17,1,16
11,5,0,0,0,0,0
11,6,7,7,8,1,7
11,7,145,121,163,36,127
11,8,124,123,130,4,126
11,9,12,12,12,0,0
11,10,0,0,0,0,0
11,11,8,7,9,2,7
11,12,76,76,79,2,77
11,13,4,4,4,0,0
11,14,36,31,45,14,31
11,15,1,0,1,1,0
11,16,2,2,2,0,0
11,17,2,2,2,0,0
11,18,5,2,5,2,3
11,19,17,17,18,1,17
11,20,12,13,13,0,0
11,21,24,25,28,3,25
11,22,14,14,15,1,14
11,23,298,247,364,106,258
11,24,28,27,29,1,28
11,25,7,7,7,0,0
11,26,6,8,8,0,0
11,27,32,31,33,1,32
11,28,65,66,69,2,67
11,29,4,4,4,0,0
11,30,0,0,0,0,0
11,31,1,1,1,0,0
11,32,2,2,2,0,0
11,33,0,0,0,0,0
11,34,3,3,3,0,0
11,35,5,5,6,1,5
11,36,7,5,7,0,0
11,37,54,54,61,7,54
11,38,2,1,2,1,1
11,39,4,3,4,1,3
11,40,0,0,0,0,0
11,41,1,1,1,0,0
11,42,35,34,40,6,34
11,43,0,0,0,0,0
11,44,0,0,0,0,0
11,45,0,0,0,0,0
11,46,22,23,24,1,23
11,47,1,1,1,0,0
11,48,105,105,114,7,107
11,49,2,1,2,1,1
11,50,0,0,0,0,0
11,51,1683,394,2827,2398,429
11,52,0,0,0,0,0
11,53,4,4,6,2,4
11,54,10,9,11,1,10
11,55,1,1,1,0,0
11,56,0,0,0,0,0
11,57,2,2,2,0,0
11,58,0,0,0,0,0
11,59,0,0,0,0,0
11,60,0,0,0,0,0
11,61,1,1,1,0,0
11,62,0,0,0,0,0
11,63,0,0,0,0,0
11,64,5,5,5,0,0
11,65,1,1,1,0,0
11,66,8,7,10,3,7
12,1,66,68,72,3,69
12,2,8,7,8,1,7
12,3,2,2,2,0,0
12,4,18,19,23,1,22
12,5,0,0,0,0,0
12,6,4,4,4,0,0
12,7,131,107,152,40,112
12,8,114,112,120,5,115
12,9,11,11,11,0,0
12,10,0,0,0,0,0
12,11,5,4,6,1,5
12,12,61,60,64,3,61
12,13,1,1,1,0,0
12,14,28,26,29,3,26
12,15,0,0,0,0,0
12,16,0,0,0,0,0
12,17,1,1,1,0,0
12,18,2,1,2,1,1
12,19,19,18,19,1,18
12,20,12,12,12,0,0
12,21,14,13,16,3,13
12,22,17,16,20,4,16
12,23,217,183,249,54,195
12,24,24,24,26,1,25
12,25,8,7,8,0,0
12,26,6,4,6,2,4
12,27,33,30,37,6,31
12,28,64,67,72,2,70
12,29,10,9,10,1,9
12,30,2,1,2,1,1
12,31,9,8,11,3,8
12,32,1,1,1,0,0
12,33,2,2,2,0,0
12,34,0,0,0,0,0
12,35,1,1,1,0,0
12,36,11,11,11,0,0
12,37,36,39,45,5,40
12,38,1,1,1,0,0
12,39,4,3,4,1,3
12,40,0,0,0,0,0
12,41,1,1,1,0,0
12,42,25,26,28,2,26
12,43,0,0,0,0,0
12,44,0,0,0,0,0
12,45,2,2,2,0,0
12,46,42,43,47,1,46
12,47,2,1,3,2,1
12,48,97,95,101,3,98
12,49,0,0,0,0,0
12,50,0,0,0,0,0
12,51,1356,368,2216,1830,386
12,52,0,0,0,0,0
12,53,2,2,2,0,0
12,54,7,7,7,0,0
12,55,1,1,1,0,0
12,56,0,0,0,0,0
12,57,8,7,8,1,7
12,58,3,2,3,0,0
12,59,0,0,0,0,0
12,60,0,0,0,0,0
12,61,1,1,1,0,0
12,62,0,0,0,0,0
12,63,0,0,0,0,0
12,64,3,3,3,0,0
12,65,0,0,0,0,0
12,66,0,0,0,0,0
13,1,58,58,62,1,61
13,2,8,7,9,1,8
13,3,1,1,3,2,1
13,4,12,11,13,2,11
13,5,0,0,0,0,0
13,6,1,1,1,0,0
13,7,133,97,160,57,103
13,8,138,137,151,13,138
13,9,13,11,13,1,12
13,10,1,2,2,0,0
13,11,3,3,3,0,0
13,12,60,56,66,6,60
13,13,0,0,0,0,0
13,14,38,32,39,7,32
13,15,0,0,0,0,0
13,16,1,1,1,0,0
13,17,1,1,1,0,0
13,18,2,2,2,0,0
13,19,10,10,12,1,11
13,20,6,7,8,1,7
13,21,16,15,16,1,15
13,22,20,16,22,6,16
13,23,230,172,274,85,189
13,24,33,32,37,1,36
13,25,11,10,11,0,0
13,26,8,9,10,0,0
13,27,40,39,43,2,41
13,28,49,47,52,5,47
13,29,7,7,7,0,0
13,30,3,3,3,0,0
13,31,5,4,5,1,4
13,32,1,1,1,0,0
13,33,3,3,3,0,0
13,34,2,1,3,2,1
13,35,1,1,1,0,0
13,36,4,4,4,0,0
13,37,34,34,37,3,34
13,38,3,3,3,0,0
13,39,1,1,2,1,1
13,40,3,2,3,1,2
13,41,4,4,4,0,0
13,42,28,27,28,1,27
13,43,0,0,0,0,0
13,44,0,0,0,0,0
13,45,0,0,0,0,0
13,46,27,25,28,2,26
13,47,7,6,7,1,6
13,48,78,76,87,8,79
13,49,0,0,0,0,0
13,50,0,0,0,0,0
13,51,1129,242,1860,1605,255
13,52,0,0,0,0,0
13,53,1,1,1,0,0
13,54,12,12,14,1,13
13,55,1,1,1,0,0
13,56,0,0,0,0,0
13,57,2,1,2,1,1
13,58,1,0,3,3,0
13,59,1,1,1,0,0
13,60,0,0,0,0,0
13,61,1,1,1,0,0
13,62,1,0,1,1,0
13,63,0,0,0,0,0
13,64,6,3,7,3,4
13,65,1,1,1,0,0
13,66,2,2,2,0,0
14,1,64,62,70,4,66
14,2,3,4,4,0,0
14,3,1,1,1,0,0
14,4,14,15,16,1,15
14,5,0,0,0,0,0
14,6,3,3,4,1,3
14,7,177,103,235,126,109
14,8,118,107,126,17,109
14,9,9,9,10,1,9
14,10,0,0,0,0,0
14,11,3,3,3,0,0
14,12,52,49,53,0,0
14,13,1,1,1,0,0
14,14,29,24,31,7,24
14,15,0,0,0,0,0
14,16,0,0,0,0,0
14,17,0,0,0,0,0
14,18,1,0,2,2,0
14,19,19,18,20,1,19
14,20,11,13,14,1,13
14,21,12,12,12,0,0
14,22,12,11,13,1,12
14,23,204,145,264,106,158
14,24,20,21,21,0,0
14,25,12,9,13,3,10
14,26,3,2,3,1,2
14,27,27,26,29,1,28
14,28,48,48,50,2,48
14,29,5,5,5,0,0
14,30,0,0,0,0,0
14,31,2,2,2,0,0
14,32,1,1,1,0,0
14,33,0,0,0,0,0
14,34,2,2,2,0,0
14,35,1,1,1,0,0
14,36,3,3,3,0,0
14,37,40,39,42,2,40
14,38,3,3,4,1,3
14,39,2,1,2,1,1
14,40,1,0,1,1,0
14,41,0,0,0,0,0
14,42,20,19,21,1,20
14,43,0,0,0,0,0
14,44,0,0,0,0,0
14,45,1,0,1,1,0
14,46,23,23,25,2,23
14,47,2,2,2,0,0
14,48,77,69,87,11,76
14,49,0,0,0,0,0
14,50,1,1,1,0,0
14,51,1013,200,1668,1454,214
14,52,0,0,0,0,0
14,53,1,1,1,0,0
14,54,7,7,9,2,7
14,55,0,0,0,0,0
14,56,1,0,1,1,0
14,57,2,0,3,3,0
14,58,1,0,1,1,0
14,59,0,0,0,0,0
14,60,0,0,0,0,0
14,61,0,0,0,0,0
14,62,0,0,0,0,0
14,63,0,0,0,0,0
14,64,3,2,3,0,0
14,65,0,0,0,0,0
14,66,0,0,0,0,0
15,1,51,50,59,3,56
15,2,2,2,2,0,0
15,3,0,0,0,0,0
15,4,13,15,16,1,15
15,5,1,0,3,3,0
15,6,0,0,0,0,0
15,7,164,84,227,138,89
15,8,119,106,132,25,107
15,9,13,12,14,1,13
15,10,0,0,0,0,0
15,11,7,4,7,3,4
15,12,38,39,41,2,39
15,13,2,1,3,2,1
15,14,31,32,36,2,34
15,15,0,0,0,0,0
15,16,3,3,4,1,3
15,17,0,0,0,0,0
15,18,2,2,2,0,0
15,19,12,12,12,0,0
15,20,3,3,3,0,0
15,21,16,15,17,1,16
15,22,9,9,11,2,9
15,23,202,132,270,135,135
15,24,25,24,25,1,24
15,25,3,2,3,1,2
15,26,2,1,3,2,1
15,27,21,20,23,2,21
15,28,37,34,38,3,35
15,29,9,7,11,4,7
15,30,0,0,0,0,0
15,31,3,3,3,0,0
15,32,0,0,0,0,0
15,33,1,1,1,0,0
15,34,1,1,1,0,0
15,35,0,0,0,0,0
15,36,2,2,2,0,0
15,37,36,35,36,0,0
15,38,2,2,2,0,0
15,39,0,0,0,0,0
15,40,2,1,2,1,1
15,41,1,1,1,0,0
15,42,32,33,36,2,34
15,43,0,0,0,0,0
15,44,0,0,0,0,0
15,45,0,0,0,0,0
15,46,35,35,42,6,36
15,47,3,2,3,1,2
15,48,67,52,82,21,61
15,49,0,0,0,0,0
15,50,1,0,1,1,0
15,51,882,157,1478,1311,167
15,52,0,0,0,0,0
15,53,0,0,0,0,0
15,54,6,6,6,0,0
15,55,0,0,0,0,0
15,56,0,0,0,0,0
15,57,0,0,0,0,0
15,58,0,0,0,0,0
15,59,0,0,0,0,0
15,60,0,0,0,0,0
15,61,1,1,1,0,0
15,62,0,0,0,0,0
15,63,0,0,0,0,0
15,64,1,0,1,1,0
15,65,0,0,0,0,0
15,66,1,1,1,0,0
16,1,70,62,84,11,73
16,2,9,8,10,2,8
16,3,0,0,0,0,0
